Library_ID	Non_synonymous	Synonymous	Total_considered	dN_dS	cov_1X	cov_2X	cov_5X	avg_depth
HCLVMBCX2-3505-27-00-01_S27	0	0	0		0.0005797	7.29e-05	6.8e-06	1.43920972644377
HCLVMBCX2-3505-28-00-01_S28	0	0	13		0.0924459	0.0014883	0.0002949	1.16529448012553
HCLVMBCX2-3505-29-00-01_S29	0	0	0		0.0016898	5.31e-05		1.12128583840139
HCLVMBCX2-3505-31-00-01_S31	0	0	0		0.0003151			1
HCLVMBCX2-3505-32-00-01_S32	0	0	0		0.000654	7.61e-05	4.77e-05	1.91198922317018
HCLVMBCX2-3505-33-00-01_S33	0	0	0		0.0004273	1.47e-05		1.12302405498282
LIB027.A0136	0	0	0					
LIB030.A0112	0	0	0		0.0004493	2.91e-05		1.38366013071895
LIB030.A0113	0	0	0		0.0029329	4.58e-05		1.06577893472167
LIB030.A0114	0	0	0		0.0014059	2.99e-05		1.18462823725982
LIB030.A0115	0	0	0		0.0002364	1.03e-05		1.34906832298137
NMU001.A0101	0	0	0		0.0011259	0.0003863	0.0001999	3.3780964797914
NMU009.A0101	0	0	0		0.00125	0.0002801	0.0001492	2.41578576462297
NMU014.A0101	0	0	0		0.0013419	0.0003823	0.0001984	2.70503282275711
NMU020.A0101	0	0	0		0.0011892	0.0003876	0.0002108	3.39175512219205
NMU021.A0101	0	0	0		0.0012891	0.0003777	0.0002159	3.06082004555809
NMU047.A0101	0	0	0		0.0015991	0.0003849	0.0001544	2.3692618435549
NMU059.A0101	0	0	0		0.0012486	0.0003624	0.0002071	3.11406396989652
NMU065.A0101	0	0	0		0.0011395	0.0003869	0.0001508	2.9031177531564
NMU067.A0101	0	0	0		0.0015955	0.000381	0.0002072	2.73260949576739
NMU089.A0101	0	0	0		0.001493	0.0004362	0.0001883	2.86309992132179
NMU115.A0101	1934	2859	1623874	0.676460300804477	0.9036968	0.8226508	0.5379437	6.47533028611312
NMU116.A0101	0	0	0		0.0119968	0.0004532	0.0002412	1.34031721167026
NMU117.A0101	556	487	264872	1.14168377823409	0.8095047	0.4535046	0.0890943	3.1537779863943
NMU118.A0101	7	11	1607	0.636363636363636	0.5115357	0.0574854	0.0013788	1.56312297507985
NMU119.A0101	8	4	414	2	0.372598	0.0217454	0.0008147	1.38202080717856
NMU120.A0101	12	5	362	2.4	0.3807709	0.0208039	0.0009312	1.39065226829827
NMU121.A0101	340	296	563587	1.14864864864865	0.841637	0.5976024	0.1891068	4.09561260646456
NMU122.A0101	1200	1668	1674296	0.719424460431655	0.8905624	0.8173542	0.5553247	6.670819888777
NMU123.A0101	11	3	2392	3.66666666666667	0.4865686	0.0485592	0.0013315	1.51386525207903
NMU124.A0101	22	8	2452	2.75	0.4095922	0.0315344	0.0015543	1.44587898261779
NMU125.A0101	252	225	354369	1.12	0.8349668	0.5472061	0.1221533	3.54855485942476
NMU126.A0101	131	57	150381	2.29824561403509	0.7922198	0.3988201	0.0521703	2.83172653876063
NMU127.A0101	13	9	1791	1.44444444444444	0.3572231	0.0195291	0.0011913	1.36921632712112
NMU128.A0101	33	10	8196	3.3	0.5681699	0.0964888	0.0036608	1.73988081117859
NMU129.A0101	56	31	14195	1.80645161290323	0.6091098	0.1369342	0.0059859	1.90318101945925
NMU130.A0101	377	408	1235349	0.924019607843137	0.8798713	0.760943	0.4081714	5.55367608925057
NMU131.A0101	0	0	0		0.0031492	0.0006113	0.0003635	3.15690844676487
PAH001.A0102	4	0	522	Inf	0.129353	0.0025886	0.0006132	1.19213280879338
PAH002.A0101	16	7	3496	2.28571428571429	0.2401815	0.018993	0.0019477	1.42069119815341
PAH003.A0101	6	3	7156	2	0.2170203	0.0260839	0.0031715	1.57418068997804
PVD001.A0101	2084	2209	371651	0.943413309189679	0.8551335	0.5528502	0.1274322	3.52199008576405
RAP001.A0101	132	161	18235	0.819875776397516	0.4530082	0.1065018	0.0085787	2.03635248728227
RAP002.A0101	137	147	27491	0.931972789115646	0.4120395	0.0761661	0.0110624	1.93774844820091
SIG001.A0101	0	0	0		0.0012615	0.000353	0.0001577	2.74906890130354
SIG002.A0101	0	0	0		0.0016349	0.0004706	0.0002345	2.71210488505747
SIG004.A0101	0	0	0		0.0011871	0.0002851	0.0001441	2.29267689262741
SIG005.A0101	0	0	0		0.0012298	0.0002852	0.0001122	2.15281757402101
SIG010.A0101	0	0	0		0.0011082	0.0003412	9.16e-05	2.28245892951775
SIG018.A0101	0	0	0		0.001078	0.0003095	0.00015	2.62871152274585
SIG021.A0101	0	0	0		0.0010634	0.000284	0.0001169	2.41563104114885
SIG024.A0101	0	0	30		0.0010826	0.0002889	0.0001025	2.18714401952807
SIG025.A0101	0	0	0		0.0013075	0.0003117	0.0001149	2.19919155625421
SIG026.A0101	0	0	0		0.0012003	0.0003026	0.0001038	2.21311475409836
SIG031.A0101	66	72	119262	0.916666666666667	0.8013789	0.4045078	0.0470307	2.80555983045034
SIG032.A0101	161	140	308432	1.15	0.8440914	0.5598004	0.1133503	3.48646041444097
SIG033.A0101	11	7	7955	1.57142857142857	0.6406254	0.1327019	0.004029	1.84314343835113
SIG034.A0101	0	0	0		0.0014639	0.0004283	0.0002557	5.74051776038531
SIG035.A0101	6	1	193	6	0.3130705	0.0112908	0.000745	1.29316955676779
SIG036.A0101	0	0	0		0.0018448	0.0003214	0.0001714	2.6259153135944
SIG037.A0101	0	0	0		0.0486537	0.0005444	0.0002605	1.14118449402804
SIG038.A0101	0	0	0		0.0009563	0.0002912	0.000194	3.74969287469287
SIG039.A0101	0	0	0		0.0083474	0.0002235	0.0001369	1.32740000703556
SIG040.A0101	0	0	0		0.0014005	0.0004803	0.0002565	3.74842767295598
SIG040.A0201	0	0	0		0.0014741	0.0004217	0.0002784	3.93525896414343
SIG041.A0101	0	0	0		0.003411	0.0003198	0.0002026	2.73643878078182
SIG042.A0101	0	2	51	0	0.1212374	0.0020894	0.0003798	1.18365033654091
SIG043.A0101	0	0	0		0.0010182	0.0004527	0.0003296	8.34717416378316
SIG044.A0101	0	1	1357	0	0.3952709	0.0344354	0.0010696	1.45113568406625
SIG045.A0101	0	0	0		0.0007053	0.0003015	0.0001826	4.44356518117451
SIG046.A0101	0	0	0		0.0017267	0.0005036	0.0003582	5.62636054421769
SIG046.A0201	0	0	18		0.0019053	0.0005228	0.0003689	4.54293201788192
SIG047.A0101	0	0	195		0.0087936	0.0021115	0.0007003	2.87707874173512
TAP001.B0101	2	11	1767	0.181818181818182	0.4581179	0.0397892	0.001322	1.47433705802533
TAP003.B0101	28	24	9732	1.16666666666667	0.624723	0.129991	0.0043935	1.84563850818752
TON001.C0101	1	0	104	Inf	0.0308792	0.0010268	0.0005673	1.38510840623811
TON003.B0101	127	85	81543	1.49411764705882	0.7309695	0.2804643	0.0294857	2.4236514052766
TON004.B0101	669	478	1475673	1.39958158995816	0.8754751	0.784006	0.5032281	6.63017592111221
TON005.B0101	123	60	152596	2.05	0.7680489	0.3625301	0.0548865	2.77479767610437
TON006.B0101	306	186	354533	1.64516129032258	0.8372923	0.5192033	0.1271948	3.47021217871676
TON007.B0101	7	3	4155	2.33333333333333	0.2907259	0.0161884	0.0019375	1.38692966384331
