#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	SIG026.A0101.metaphlan.profile	SIG025.A0101.metaphlan.profile	SIG024.A0101.metaphlan.profile	SIG021.A0101.metaphlan.profile	SIG018.A0101.metaphlan.profile	SIG010.A0101.metaphlan.profile	SIG005.A0101.metaphlan.profile	SIG004.A0101.metaphlan.profile	SIG002.A0101.metaphlan.profile	SIG001.A0101.metaphlan.profile	KRA011.C0201.metaphlan.profile	KRA011.C0101.metaphlan.profile	KRA010.C0201.metaphlan.profile	KRA010.C0101.metaphlan.profile	KRA008.C0201.metaphlan.profile	KRA008.C0101.metaphlan.profile	KRA007.C0201.metaphlan.profile	KRA007.C0101.metaphlan.profile	KRA006.C0201.metaphlan.profile	KRA006.C0101.metaphlan.profile	KRA005.C0201.metaphlan.profile	KRA005.C0101.metaphlan.profile	KRA004.C0201.metaphlan.profile	KRA004.C0101.metaphlan.profile	KRA003.C0201.metaphlan.profile	KRA003.C0101.metaphlan.profile	KRA002.C0201.metaphlan.profile	KRA002.C0101.metaphlan.profile	KRA001.C0202.metaphlan.profile	KRA001.C0102.metaphlan.profile	ARS017.A0101.metaphlan.profile	ARS015.A0101.metaphlan.profile	ARS013.A0101.metaphlan.profile	ARS012.A0101.metaphlan.profile	ARS011.A0101.metaphlan.profile	ARS010.A0101.metaphlan.profile	ARS006.A0101.metaphlan.profile	ARS005.A0101.metaphlan.profile	ARS004.A0101.metaphlan.profile	ARS001.A0101.metaphlan.profile	NMU089.A0101.metaphlan.profile	NMU067.A0101.metaphlan.profile	NMU065.A0101.metaphlan.profile	NMU059.A0101.metaphlan.profile	NMU047.A0101.metaphlan.profile	NMU021.A0101.metaphlan.profile	NMU020.A0101.metaphlan.profile	NMU014.A0101.metaphlan.profile	NMU009.A0101.metaphlan.profile	NMU001.A0101.metaphlan.profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales	2|201174|1760|414714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07819	0.42742	0.82212	0	0	0.16956	1.69027	0	0.26807	0	0	0	0	0	0	0	0.94315	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae	2|201174|1760|414714|414713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07819	0.42742	0.82212	0	0	0.16956	1.69027	0	0.26807	0	0	0	0	0	0	0	0.94315	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae|g__Actinospica	2|201174|1760|414714|414713|414715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07819	0.42742	0.82212	0	0	0.16956	1.69027	0	0.26807	0	0	0	0	0	0	0	0.94315	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae|g__Actinospica|s__Actinospica_robiniae	2|201174|1760|414714|414713|414715|304901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07819	0.42742	0.82212	0	0	0.16956	1.69027	0	0.26807	0	0	0	0	0	0	0	0.94315	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23536	54.72378	0	0	0	0	0	0	0.07333	0.80403	0	0	0	0	0.08797	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.08797	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	2|201174|1760|85007|1653|1716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.08797	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_atypicum	2|201174|1760|85007|1653|1716|191610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.08797	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae	2|201174|1760|85007|1762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05333	0.80403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium	2|201174|1760|85007|1762|1763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_lepraemurium	2|201174|1760|85007|1762|1763|64667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium	2|201174|1760|85007|1762|1866885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05333	0.60983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_elephantis	2|201174|1760|85007|1762|1866885|81858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05333	0.60983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23536	54.72378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	2|201174|1760|85007|85025|1827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23536	54.72378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis	2|201174|1760|85007|85025|1827|1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23536	50.59432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_qingshengii	2|201174|1760|85007|85025|1827|334542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales	2|201174|1760|85013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07259	0	0.13378	0	0	0	0.36632	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Cryptosporangiaceae	2|201174|1760|85013|622454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07259	0	0.13378	0	0	0	0.36632	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Cryptosporangiaceae|g__Cryptosporangium	2|201174|1760|85013|622454|65502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07259	0	0.13378	0	0	0	0.36632	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Cryptosporangiaceae|g__Cryptosporangium|s__Cryptosporangium_arvum	2|201174|1760|85013|622454|65502|80871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07259	0	0.13378	0	0	0	0.36632	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales	2|201174|1760|85008	0	0	0	0	0	0	0	0	0	0	0	0	0.30605	0.37619	0.03448	1.83417	16.32137	0	0	0	0	0	6.30401	27.52416	0	0	3.70803	0	10.5707	48.68062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae	2|201174|1760|85008|28056	0	0	0	0	0	0	0	0	0	0	0	0	0.30605	0.37619	0.03448	1.83417	16.32137	0	0	0	0	0	6.30401	27.52416	0	0	3.70803	0	10.5707	48.68062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora	2|201174|1760|85008|28056|1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonosporaceae_unclassified	2|201174|1760|85008|28056|	0	0	0	0	0	0	0	0	0	0	0	0	0.30605	0.37619	0	1.83417	16.32137	0	0	0	0	0	6.30401	27.52416	0	0	3.70803	0	10.5707	48.68062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonosporaceae_unclassified|s__Micromonosporaceae_bacterium	2|201174|1760|85008|28056||1873464	0	0	0	0	0	0	0	0	0	0	0	0	0.30605	0.37619	0	1.83417	16.32137	0	0	0	0	0	6.30401	27.52416	0	0	3.70803	0	10.5707	48.68062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_cremea	2|201174|1760|85008|28056|1873|709881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales	2|201174|1760|1643684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32732	2.45259	3.21075	0	0	1.05914	3.16428	0	1.41209	0	0	1.59782	0	0	0	0	0	0	0	2.55252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales|f__Nakamurellaceae	2|201174|1760|1643684|85031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32732	2.45259	3.21075	0	0	1.05914	3.16428	0	1.41209	0	0	1.59782	0	0	0	0	0	0	0	2.55252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella	2|201174|1760|1643684|85031|53460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32732	2.45259	3.21075	0	0	1.05914	3.16428	0	1.41209	0	0	1.59782	0	0	0	0	0	0	0	2.55252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella_silvestris	2|201174|1760|1643684|85031|53460|1645681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32732	2.45259	3.21075	0	0	1.05914	3.16428	0	1.41209	0	0	1.59782	0	0	0	0	0	0	0	2.55252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87593	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae	2|201174|1760|85011|2062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87593	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces	2|201174|1760|85011|2062|1883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87593	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_viridochromogenes	2|201174|1760|85011|2062|1883|1938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87593	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.21975	2.28617	0	3.08464	2.1458	0	1.95738	0	1.3978	0.82382	0	0	0	1.63644	0	0	0.53393	0	0	0	0	0	0	0	0	0	0	0	0	1.76261	0.35021	0.42364	0.65117	0	0	0.28277	0.31532	0	0.55069	0	1.64929	1.58739	0	1.42195	0	0.73635	2.12685	0.65633	0.65239	0.70731
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.21975	2.28617	0	3.08464	2.1458	0	1.95738	0	1.3978	0.82382	0	0	0	1.63644	0	0	0.53393	0	0	0	0	0	0	0	0	0	0	0	0	1.76261	0.35021	0.42364	0.65117	0	0	0.28277	0.31532	0	0.55069	0	1.64929	1.58739	0	1.42195	0	0.73635	2.12685	0.65633	0.65239	0.70731
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.21975	2.28617	0	3.08464	2.1458	0	1.95738	0	1.3978	0.82382	0	0	0	1.63644	0	0	0.53393	0	0	0	0	0	0	0	0	0	0	0	0	1.76261	0.35021	0.42364	0.65117	0	0	0.28277	0.31532	0	0.55069	0	1.64929	1.58739	0	1.42195	0	0.73635	2.12685	0.65633	0.65239	0.70731
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2|201174|84998|84999|84107|102106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	2|201174|84998|84999|84107|1472762	3.21975	2.28617	0	3.08464	2.1458	0	1.95738	0	1.3978	0.82382	0	0	0	1.63644	0	0	0.53393	0	0	0	0	0	0	0	0	0	0	0	0	1.76261	0.35021	0.42364	0.49765	0	0	0.28277	0.31532	0	0.55069	0	1.64929	1.58739	0	1.42195	0	0.73635	2.12685	0.65633	0.65239	0.70731
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis	2|201174|84998|84999|84107|1472762|1232426	3.21975	2.28617	0	3.08464	2.1458	0	1.95738	0	1.3978	0.82382	0	0	0	1.63644	0	0	0.53393	0	0	0	0	0	0	0	0	0	0	0	0	1.76261	0.35021	0.42364	0.49765	0	0	0.28277	0.31532	0	0.55069	0	1.64929	1.58739	0	1.42195	0	0.73635	2.12685	0.65633	0.65239	0.70731
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	1.64392	3.95252	1.63753	0	0	2.1896	0	0	0	2.84767	0	0	0	1.55239	0	0	0.48653	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18001	1.47815	1.7947	0	0	1.82948	1.71857	0	0.97312	0	1.08887	5.15539	0	2.68123	1.44109	3.64235	3.75995	0	0	11.57889
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	1.64392	3.95252	1.63753	0	0	2.1896	0	0	0	2.84767	0	0	0	1.55239	0	0	0.48653	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18001	1.47815	1.7947	0	0	1.82948	1.71857	0	0.97312	0	1.08887	5.15539	0	2.68123	1.44109	3.64235	3.75995	0	0	11.57889
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae	2|201174|84995|84996|84997	1.64392	3.95252	1.63753	0	0	2.1896	0	0	0	2.84767	0	0	0	1.55239	0	0	0.48653	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18001	1.47815	1.7947	0	0	1.82948	1.71857	0	0.97312	0	1.08887	5.15539	0	2.68123	1.44109	3.64235	3.75995	0	0	11.57889
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter	2|201174|84995|84996|84997|42255	1.64392	3.95252	1.63753	0	0	2.1896	0	0	0	2.84767	0	0	0	1.55239	0	0	0.48653	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18001	1.47815	1.7947	0	0	1.82948	1.71857	0	0.97312	0	1.08887	5.15539	0	2.68123	1.44109	3.64235	3.75995	0	0	11.57889
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter|s__Rubrobacter_radiotolerans	2|201174|84995|84996|84997|42255|42256	1.64392	3.95252	1.63753	0	0	2.1896	0	0	0	2.84767	0	0	0	1.55239	0	0	0.48653	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18001	1.47815	1.7947	0	0	1.82948	1.71857	0	0.97312	0	1.08887	5.15539	0	2.68123	1.44109	3.64235	3.75995	0	0	11.57889
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	17.6894	37.22666	30.95807	19.30629	10.88898	25.05849	20.80444	17.52458	13.67318	25.16393	49.46662	0	3.38639	22.91453	0.29955	0	8.86881	0	0	0	0	35.79602	0.66729	6.01697	26.89871	0	8.54951	0	8.27437	14.03724	56.51532	61.46337	45.95673	0	0	54.34188	58.20798	0	71.88308	0	23.80201	15.7736	21.42753	22.32357	24.93145	19.14049	19.44162	18.68686	25.45006	16.33246
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	4.71677	8.57961	6.2552	0	0.27825	1.26742	0.77784	0.39659	2.09256	4.75887	37.3244	0	0.79745	5.41391	0	0	0.41677	0	0	0	0	1.92227	0.27296	4.44496	0	0	0	0	0	1.35642	17.47109	20.5738	13.07415	0	0	13.49026	20.57996	0	18.7407	0	6.5329	6.05592	7.68442	11.14916	4.18132	7.37766	3.92814	5.9732	5.64807	6.79903
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae	2|201174|1497346|588673|361606	4.71677	8.57961	6.2552	0	0.27825	1.26742	0.77784	0.39659	2.09256	4.75887	37.3244	0	0.79745	5.41391	0	0	0.41677	0	0	0	0	1.92227	0.27296	4.44496	0	0	0	0	0	1.35642	17.47109	20.5738	13.07415	0	0	13.49026	20.57996	0	18.7407	0	6.5329	6.05592	7.68442	11.14916	4.18132	7.37766	3.92814	5.9732	5.64807	6.79903
