#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	TON007.B0101.metaphlan3	TON006.B0101.metaphlan3	TON005.B0101.metaphlan3	TON004.B0101.metaphlan3	TON003.B0101.metaphlan3	TON001.C0101.metaphlan3	TAP003.B0101.metaphlan3	TAP001.B0101.metaphlan3	SIG047.A0101.metaphlan3	SIG046.A0201.metaphlan3	SIG046.A0101.metaphlan3	SIG045.A0101.metaphlan3	SIG044.A0101.metaphlan3	SIG043.A0101.metaphlan3	SIG042.A0101.metaphlan3	SIG041.A0101.metaphlan3	SIG040.A0201.metaphlan3	SIG040.A0101.metaphlan3	SIG039.A0101.metaphlan3	SIG038.A0101.metaphlan3	SIG037.A0101.metaphlan3	SIG036.A0101.metaphlan3	SIG035.A0101.metaphlan3	SIG034.A0101.metaphlan3	SIG033.A0101.metaphlan3	SIG032.A0101.metaphlan3	SIG031.A0101.metaphlan3	SIG026.A0101.SG1.1.metaphlan3	SIG025.A0101.SG1.1.metaphlan3	SIG024.A0101.SG1.1.metaphlan3	SIG021.A0101.SG1.1.metaphlan3	SIG018.A0101.SG1.1.metaphlan3	SIG010.A0101.SG1.1.metaphlan3	SIG005.A0101.SG1.1.metaphlan3	SIG004.A0101.SG1.1.metaphlan3	SIG002.A0101.SG1.1.metaphlan3	SIG001.A0101.SG1.1.metaphlan3	RAP002.A0101.metaphlan3	RAP001.A0101.metaphlan3	PVD001.A0101.metaphlan3	PAH003.A0101.metaphlan3	PAH002.A0101.metaphlan3	PAH001.A0102.metaphlan3	NMU131.A0101.metaphlan3	NMU130.A0101.metaphlan3	NMU129.A0101.metaphlan3	NMU128.A0101.metaphlan3	NMU127.A0101.metaphlan3	NMU126.A0101.metaphlan3	NMU125.A0101.metaphlan3	NMU124.A0101.metaphlan3	NMU123.A0101.metaphlan3	NMU122.A0101.metaphlan3	NMU121.A0101.metaphlan3	NMU120.A0101.metaphlan3	NMU119.A0101.metaphlan3	NMU118.A0101.metaphlan3	NMU117.A0101.metaphlan3	NMU116.A0101.metaphlan3	NMU115.A0101.metaphlan3	NMU089.A0101.SG1.1.metaphlan3	NMU067.A0101.SG1.1.metaphlan3	NMU065.A0101.SG1.1.metaphlan3	NMU059.A0101.SG1.1.metaphlan3	NMU047.A0101.SG1.1.metaphlan3	NMU021.A0101.SG1.1.metaphlan3	NMU020.A0101.SG1.1.metaphlan3	NMU014.A0101.SG1.1.metaphlan3	NMU009.A0101.SG1.1.metaphlan3	NMU001.A0101.SG1.1.metaphlan3	LIB030.A0115.metaphlan3	LIB030.A0114.metaphlan3	LIB030.A0113.metaphlan3	LIB030.A0112.metaphlan3	LIB027.A0136.metaphlan3	HPD007.B0101.metaphlan3	HPD006.B0101.metaphlan3	HPD005.B0101.metaphlan3	HPD004.A0101.SG1.1.metaphlan3	HPD003.A0101.SG1.1.metaphlan3	HPD002.A0101.SG1.1.metaphlan3	HPD001.A0101.SG1.1.metaphlan3	HCLVMBCX2-3505-33-00-01_S33.metaphlan3	HCLVMBCX2-3505-32-00-01_S32.metaphlan3	HCLVMBCX2-3505-31-00-01_S31.metaphlan3	HCLVMBCX2-3505-29-00-01_S29.metaphlan3	HCLVMBCX2-3505-28-00-01_S28.metaphlan3	HCLVMBCX2-3505-27-00-01_S27.metaphlan3	HCLVMBCX2-3505-26-00-01_S26.metaphlan3	HCLVMBCX2-3505-25-00-01_S25.metaphlan3	HCLVMBCX2-3505-24-00-01_S24.metaphlan3	HCLVMBCX2-3505-23-00-01_S23.metaphlan3	HCLVMBCX2-3505-22-00-01_S22.metaphlan3	HCLVMBCX2-3505-21-00-01_S21.metaphlan3	HCLVMBCX2-3505-20-00-01_S20.metaphlan3	HCLVMBCX2-3505-19-00-01_S19.metaphlan3	HCLVMBCX2-3505-18-00-01_S18.metaphlan3	HCLVMBCX2-3505-17-00-01_S17.metaphlan3	HCLVMBCX2-3505-16-00-01_S16.metaphlan3	HCLVMBCX2-3505-15-00-01_S15.metaphlan3	HCLVMBCX2-3505-14-00-01_S14.metaphlan3	HCLVMBCX2-3505-13-00-01_S13.metaphlan3	HCLVMBCX2-3505-12-00-01_S12.metaphlan3	HCLVMBCX2-3505-11-00-01_S11.metaphlan3	HCLVMBCX2-3505-10-00-01_S10.metaphlan3	HCLVMBCX2-3505-09-00-01_S9.metaphlan3	HCLVMBCX2-3505-08-00-01_S8.metaphlan3	HCLVMBCX2-3505-07-00-01_S7.metaphlan3	HCLVMBCX2-3505-06-00-01_S6.metaphlan3	HCLVMBCX2-3505-05-00-01_S5.metaphlan3	HCLVMBCX2-3505-04-00-01_S4.metaphlan3	HCLVMBCX2-3505-03-00-01_S3.metaphlan3	HCLVMBCX2-3505-02-00-01_S2.metaphlan3	HCLVMBCX2-3505-01-00-01_S1.metaphlan3	FUT024.B0101.metaphlan3	FUT021.B0101.metaphlan3	FUT018.B0101.metaphlan3	EXB037.A3401.metaphlan3	EXB037.A3301.metaphlan3	EXB037.A3201.metaphlan3	EXB037.A3101.metaphlan3	EXB037.A3001.metaphlan3	EXB037.A2901.metaphlan3	EFE006.B0101.metaphlan3	EFE005.B0101.metaphlan3	EFE004.B0101.metaphlan3	EFE003.B0101.metaphlan3	EFE002.B0101.metaphlan3	ATT002.A0101.metaphlan3	ATT001.A0101.metaphlan3	AON002.A0101.metaphlan3	AON001.A0101.metaphlan3	ANN004.A0101.metaphlan3	ANN003.A0101.metaphlan3	ANN002.A0101.metaphlan3	ANN001.A0101.metaphlan3	ANK001.A0101.metaphlan3	AMH004.A0101.metaphlan3	AMH003.A0101.metaphlan3	AMH002.A0101.metaphlan3	AMH001.A0101.metaphlan3	AKI002.A0101.metaphlan3	AKI001.A0101.metaphlan3	AHK001.A0101.metaphlan3
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.19102
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae	2|201174|84995|84996|84997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.19102
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter	2|201174|84995|84996|84997|42255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.19102
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter|s__Rubrobacter_radiotolerans	2|201174|84995|84996|84997|42255|42256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.19102
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0	0	0	0	0	0.41873	0	0	0	1.37488	0	0	0	0	0	10.87753	100.0	100.0	6.98901	0	2.44908	44.65083	0.03406	5.88048	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0.02831	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12488	0	0.95438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae	2|201174|1497346|588673|361606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12488	0	0.95438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter	2|201174|1497346|588673|361606|361607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12488	0	0.95438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter|s__Patulibacter_medicamentivorans	2|201174|1497346|588673|361606|361607|1097667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12488	0	0.95438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0	0	0	0	0	0.41873	0	0	0	1.37488	0	0	0	0	0	10.87753	100.0	100.0	6.98901	0	2.44908	39.52594	0.03406	4.9261	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0.02831	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0	0	0	0	0	0.41873	0	0	0	1.37488	0	0	0	0	0	10.87753	100.0	100.0	6.98901	0	2.44908	39.52594	0.03406	4.9261	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0.02831	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum	2|201174|1497346|588674|320796|192992	0	0	0	0	0	0.41873	0	0	0	1.37488	0	0	0	0	0	10.87753	100.0	100.0	6.98901	0	2.44908	39.52594	0.03406	4.9261	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0.02831	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum|s__Thermoleophilum_album	2|201174|1497346|588674|320796|192992|29539	0	0	0	0	0	0.41873	0	0	0	1.37488	0	0	0	0	0	10.87753	100.0	100.0	6.98901	0	2.44908	39.52594	0.03406	4.9261	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0.02831	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	2|976	0.03884	5.24935	2.82407	7.35567	2.69445	0.23261	2.44776	0.65584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25865	0	1.11529	2.33139	2.22365	0	0	0	0	0	0	0	0	0	0	9.23087	7.63252	3.72442	0	0	0	1.36646	3.75181	3.592	0.95126	1.18812	1.81073	5.64865	2.1181	1.74891	5.83642	6.71719	0.20855	0.56498	0.77486	4.03052	0	4.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5539	5.31944	4.97607	0	0	0	0	0	0	0	0	0	0	0.08527	0	0	0	0	0	0	0	0	0	0.23069	0	0.92403	0	0.06302	0	0.15894	0.43368	0	0	0.41689	0	0	0	0	0	4.43914	2.51546	0	0	0	0	0	0	0	1.55899	3.55951	7.54388	1.85193	0.50055	17.47839	10.45643	8.02457	13.48388	6.15618	22.41044	6.75974	3.73063	0	3.2017	10.82014	16.45525	14.67523	9.37384	3.88391	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified	2|976|	0.03884	0	0.14956	0	0	0	1.69236	0.37522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9942	0	0.31886	0.42013	0.72302	0	0	0	0	0	0	0	0	0	0	5.61143	1.34036	1.25742	0	0	0	0	0.40691	2.12262	0.53828	0.77603	0.35492	2.37948	1.69864	0.91982	0.41377	3.23302	0.04568	0.16746	0.3387	1.63246	0	0.4082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91554	2.07485	2.75532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604	0	0.06302	0	0	0	0	0	0.03954	0	0	0	0	0	1.07323	1.82969	0	0	0	0	0	0	0	0.98053	2.05888	2.95969	0.717	0.24134	9.78981	3.3442	2.66816	4.1925	3.20475	4.14633	2.89589	1.06934	0	2.09534	2.17494	2.46698	5.78171	1.80984	0.12477	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified	2|976||	0.03884	0	0.14956	0	0	0	1.69236	0.37522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9942	0	0.31886	0.42013	0.72302	0	0	0	0	0	0	0	0	0	0	5.61143	1.34036	1.25742	0	0	0	0	0.40691	2.12262	0.53828	0.77603	0.35492	2.37948	1.69864	0.91982	0.41377	3.23302	0.04568	0.16746	0.3387	1.63246	0	0.4082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91554	2.07485	2.75532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604	0	0.06302	0	0	0	0	0	0.03954	0	0	0	0	0	1.07323	1.82969	0	0	0	0	0	0	0	0.98053	2.05888	2.95969	0.717	0.24134	9.78981	3.3442	2.66816	4.1925	3.20475	4.14633	2.89589	1.06934	0	2.09534	2.17494	2.46698	5.78171	1.80984	0.12477	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified	2|976|||	0.03884	0	0.14956	0	0	0	1.69236	0.37522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9942	0	0.31886	0.42013	0.72302	0	0	0	0	0	0	0	0	0	0	5.61143	1.34036	1.25742	0	0	0	0	0.40691	2.12262	0.53828	0.77603	0.35492	2.37948	1.69864	0.91982	0.41377	3.23302	0.04568	0.16746	0.3387	1.63246	0	0.4082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91554	2.07485	2.75532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604	0	0.06302	0	0	0	0	0	0.03954	0	0	0	0	0	1.07323	1.82969	0	0	0	0	0	0	0	0.98053	2.05888	2.95969	0.717	0.24134	9.78981	3.3442	2.66816	4.1925	3.20475	4.14633	2.89589	1.06934	0	2.09534	2.17494	2.46698	5.78171	1.80984	0.12477	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified	2|976||||	0.03884	0	0.14956	0	0	0	1.69236	0.37522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9942	0	0.31886	0.42013	0.72302	0	0	0	0	0	0	0	0	0	0	5.61143	1.34036	1.25742	0	0	0	0	0.40691	2.12262	0.53828	0.77603	0.35492	2.37948	1.69864	0.91982	0.41377	3.23302	0.04568	0.16746	0.3387	1.63246	0	0.4082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91554	2.07485	2.75532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604	0	0.06302	0	0	0	0	0	0.03954	0	0	0	0	0	1.07323	1.82969	0	0	0	0	0	0	0	0.98053	2.05888	2.95969	0.717	0.24134	9.78981	3.3442	2.66816	4.1925	3.20475	4.14633	2.89589	1.06934	0	2.09534	2.17494	2.46698	5.78171	1.80984	0.12477	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_bacterium_oral_taxon_272	2|976|||||651591	0.03884	0	0.14956	0	0	0	1.44381	0.31004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96196	0	0.29708	0.42013	0.62813	0	0	0	0	0	0	0	0	0	0	0.37159	0	0.02369	0	0	0	0	0.27106	2.11268	0.46091	0.65462	0.21469	2.37948	0.1737	0.38546	0	3.23302	0	0.16746	0.17158	0.46716	0	0.04174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10902	0.61102	0.09039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06302	0	0	0	0	0	0.03954	0	0	0	0	0	1.07323	0.9604	0	0	0	0	0	0	0	0.13088	0.01528	0.49055	0.62312	0.24134	9.55165	2.71046	2.66816	4.1925	3.20475	3.74561	0.84077	1.04762	0	2.09534	2.17494	0.84682	5.78171	1.71815	0.12477	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_oral_taxon_274	2|976|||||652708	0	0	0	0	0	0	0.24855	0.06518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03224	0	0.02178	0	0.09489	0	0	0	0	0	0	0	0	0	0	5.23984	1.34036	1.23373	0	0	0	0	0.13584	0.00994	0.07737	0.12141	0.14023	0	1.52494	0.53436	0.41377	0	0.04568	0	0.16712	1.16531	0	0.36646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80652	1.46383	2.66493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86929	0	0	0	0	0	0	0	0.84966	2.0436	2.46914	0.09388	0	0.23816	0.63375	0	0	0	0.40072	2.05512	0.02172	0	0	0	1.62016	0	0.09169	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0	5.24935	2.67451	7.35567	2.69445	0.23261	0.7554	0.28062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26445	0	0.79643	1.91126	1.50063	0	0	0	0	0	0	0	0	0	0	2.79094	3.99732	2.467	0	0	0	1.36646	3.34491	1.46938	0.41298	0.41209	1.45581	3.26917	0.41946	0.82909	5.42265	3.48417	0.14719	0.39751	0.43616	2.24271	0	3.55511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57465	1.3448	2.01957	0	0	0	0	0	0	0	0	0	0	0.08527	0	0	0	0	0	0	0	0	0	0.23069	0	0.76943	0	0	0	0.15894	0.43368	0	0	0.37735	0	0	0	0	0	3.36591	0.68577	0	0	0	0	0	0	0	0.57846	1.50063	4.44121	1.13493	0.25921	7.68858	7.11223	5.35641	9.29138	2.95143	18.26411	3.40085	2.66129	0	1.10636	8.64519	13.96339	8.89352	7.564	3.75913	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0	5.24935	2.67451	7.35567	2.69445	0.23261	0.7554	0.28062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26445	0	0.79643	1.91126	1.50063	0	0	0	0	0	0	0	0	0	0	2.79094	3.99732	2.467	0	0	0	1.36646	3.34491	1.46938	0.41298	0.41209	1.45581	3.26917	0.41946	0.82909	5.42265	3.48417	0.14719	0.39751	0.43616	2.24271	0	3.55511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57465	1.3448	2.01957	0	0	0	0	0	0	0	0	0	0	0.08527	0	0	0	0	0	0	0	0	0	0.23069	0	0.76943	0	0	0	0.15894	0.43368	0	0	0.37735	0	0	0	0	0	3.36591	0.68577	0	0	0	0	0	0	0	0.57846	1.50063	4.44121	1.13493	0.25921	7.68858	7.11223	5.35641	9.29138	2.95143	18.26411	3.40085	2.66129	0	1.10636	8.64519	13.96339	8.89352	7.564	3.75913	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae	2|976|200643|171549|2005520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae|g__Proteiniphilum	2|976|200643|171549|2005520|294702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae|g__Proteiniphilum|s__Proteiniphilum_saccharofermentans	2|976|200643|171549|2005520|294702|1642647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
