Sample Name	Reads	Reads Mapped	Endogenous DNA (%)	Reads Mapped	Endogenous DNA Post (%)	% Dups	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean read length	Median read length	Aligned	Mean cov	Median cov	? 1X	? 2X	? 3X	? 4X	? 5X	% GC	SNPs	% Hets
NMU119.A0101	"10,942,124"	"499,487"	4.56	"499,487"	4.56	8.80%	2.20%	0.80%	63.51bp	59.00bp	"455,474"	9.8X	10.0X	95.10%	93.60%	92.30%	90.90%	88.80%	56%	"21,121"	9.4
NMU120.A0101	"13,762,755"	"101,376"	0.74	"101,376"	0.74	4.00%	1.40%	0.80%	67.40bp	66.00bp	"97,284"	2.2X	2.0X	83.80%	62.80%	39.00%	20.40%	9.10%	56%	"1,544"	3
NMU121.A0101	"11,085,379"	"876,299"	7.9	"876,299"	7.9	10.70%	1.90%	0.80%	73.73bp	76.00bp	"782,568"	19.6X	21.0X	96.30%	95.40%	94.70%	93.90%	93.10%	57%	"28,873"	39.1
NMU122.A0101	"11,904,227"	"907,945"	7.63	"907,945"	7.63	11.40%	2.50%	0.80%	66.57bp	64.00bp	"804,630"	18.2X	19.0X	95.50%	94.40%	93.70%	93.20%	92.70%	56%	"25,277"	2
NMU123.A0101	"6,490,410"	"222,446"	3.43	"222,446"	3.43	4.10%	2.00%	0.80%	61.43bp	56.00bp	"213,420"	4.4X	4.0X	93.90%	87.90%	77.70%	63.40%	47.20%	56%	"6,875"	10.1
NMU124.A0101	"11,144,570"	"591,587"	5.31	"591,587"	5.31	8.70%	5.00%	0.90%	60.24bp	55.00bp	"539,875"	11.0X	11.0X	94.60%	93.40%	92.50%	91.40%	89.80%	56%	"22,785"	1.2
NMU125.A0101	"10,609,665"	"391,976"	3.69	"391,976"	3.69	5.80%	3.90%	0.90%	66.03bp	64.00bp	"369,063"	8.3X	8.0X	95.60%	93.80%	91.50%	88.00%	83.20%	56%	"18,552"	25.7
NMU126.A0101	"10,600,038"	"412,074"	3.89	"412,074"	3.89	6.60%	4.10%	1.00%	62.23bp	57.00bp	"385,063"	8.1X	8.0X	94.70%	92.80%	90.90%	87.90%	83.30%	56%	"19,012"	2.8
NMU127.A0101	"10,067,866"	"533,565"	5.3	"533,565"	5.3	7.50%	3.10%	0.90%	65.85bp	63.00bp	"493,595"	11.0X	11.0X	96.00%	94.50%	92.60%	90.30%	87.60%	57%	"22,977"	34.6
NMU128.A0101	"11,332,444"	"1,074,199"	9.48	"1,074,199"	9.48	12.70%	3.70%	0.90%	67.55bp	65.00bp	"938,286"	21.5X	23.0X	96.80%	96.30%	95.80%	95.20%	94.50%	56%	"34,361"	49.2
NMU129.A0101	"9,166,900"	"491,040"	5.36	"491,040"	5.36	7.50%	4.90%	1.00%	53.42bp	47.00bp	"454,314"	8.2X	8.0X	95.80%	93.60%	90.70%	86.80%	81.70%	57%	"18,210"	16.4
NMU130.A0101	"12,656,199"	"621,968"	4.91	"621,968"	4.91	8.20%	3.40%	0.90%	63.89bp	60.00bp	"571,031"	12.4X	13.0X	94.90%	93.70%	92.90%	92.00%	90.90%	57%	"23,211"	1.3
PAH002.A0101	"11,357,511"	"867,616"	7.64	"867,616"	7.64	13.60%	22.80%	1.10%	46.11bp	43.00bp	"749,640"	11.7X	12.0X	97.30%	96.00%	94.50%	92.70%	90.30%	54%	"22,723"	27.9
PAH003.A0101	"8,792,343"	"414,170"	4.71	"414,170"	4.71	7.90%	19.50%	1.00%	44.13bp	41.00bp	"381,620"	5.7X	5.0X	93.00%	88.70%	82.00%	72.60%	61.30%	54%	"12,727"	1.9
RAP001.A0101	"13,800,632"	"33,842"	0.25	"33,842"	0.25	5.10%	4.10%	1.10%	71.74bp	76.00bp	"32,106"	0.8X	1.0X	51.30%	18.70%	5.30%	1.20%	0.30%	56%	30	13.3
RAP002.A0101	"10,359,114"	"65,481"	0.63	"65,481"	0.63	2.90%	4.40%	1.00%	72.78bp	76.00bp	"63,551"	1.6X	1.0X	74.20%	45.50%	22.30%	9.10%	3.30%	55%	336	11.3
SIG031.A0101	"11,367,781"	"384,187"	3.38	"384,187"	3.38	6.30%	4.30%	0.90%	66.46bp	67.00bp	"359,816"	8.1X	8.0X	95.10%	93.50%	91.50%	88.50%	84.00%	55%	"17,356"	24.7
SIG032.A0101	"11,841,156"	"399,850"	3.38	"399,850"	3.38	6.70%	4.00%	0.90%	64.07bp	61.00bp	"373,121"	8.1X	8.0X	95.10%	93.30%	90.80%	87.40%	82.50%	55%	"16,940"	30.5
SIG033.A0101	"11,503,247"	"427,046"	3.71	"427,046"	3.71	6.80%	2.60%	0.90%	67.58bp	69.00bp	"397,797"	9.1X	9.0X	95.30%	93.80%	92.00%	89.50%	86.10%	56%	"19,124"	33.3
SIG035.A0101	"11,761,885"	"398,788"	3.39	"398,788"	3.39	8.70%	3.40%	0.90%	61.32bp	56.00bp	"364,240"	7.6X	8.0X	94.80%	92.70%	89.90%	86.00%	80.20%	55%	"16,525"	20.1
TAP001.B0101	"11,516,576"	"1,050,979"	9.13	"1,050,979"	9.13	15.50%	3.20%	0.90%	72.75bp	75.00bp	"887,746"	21.9X	23.0X	95.30%	94.70%	94.20%	93.60%	92.90%	56%	"30,649"	40.2
TAP003.B0101	"10,735,851"	"772,843"	7.2	"772,843"	7.2	10.80%	3.60%	0.80%	70.27bp	74.00bp	"689,055"	16.4X	17.0X	96.30%	94.90%	93.50%	92.30%	91.30%	56%	"25,573"	22.2
TON004.B0101	"11,770,779"	"1,341,344"	11.4	"1,341,344"	11.4	19.30%	18.30%	1.00%	43.98bp	41.00bp	"1,082,014"	16.2X	16.0X	95.50%	95.00%	94.50%	93.80%	93.00%	55%	"29,066"	36.1
TON005.B0101	"14,490,667"	"904,889"	6.24	"904,889"	6.24	15.80%	14.60%	1.00%	46.25bp	43.00bp	"761,738"	12.0X	12.0X	95.60%	94.70%	93.60%	91.90%	89.70%	56%	"24,056"	31.1
TON006.B0101	"9,531,461"	"744,131"	7.81	"744,131"	7.81	11.70%	17.70%	1.10%	43.24bp	40.00bp	"657,115"	9.6X	10.0X	95.20%	93.80%	91.80%	89.10%	85.20%	55%	"20,190"	27
TON007.B0101	"8,192,561"	"1,154,487"	14.09	"1,154,487"	14.09	17.80%	19.20%	1.00%	46.92bp	44.00bp	"948,767"	15.1X	15.0X	95.30%	94.50%	93.60%	92.50%	91.20%	56%	"26,453"	28.8
