#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	TON007.B0101.metaphlan.profile	TON006.B0101.metaphlan.profile	TON005.B0101.metaphlan.profile	TON004.B0101.metaphlan.profile	TON003.B0101.metaphlan.profile	TON001.C0101.metaphlan.profile	TAP003.B0101.metaphlan.profile	TAP001.B0101.metaphlan.profile	SIG047.A0101.metaphlan.profile	SIG046.A0201.metaphlan.profile	SIG046.A0101.metaphlan.profile	SIG045.A0101.metaphlan.profile	SIG044.A0101.metaphlan.profile	SIG043.A0101.metaphlan.profile	SIG042.A0101.metaphlan.profile	SIG041.A0101.metaphlan.profile	SIG040.A0201.metaphlan.profile	SIG040.A0101.metaphlan.profile	SIG039.A0101.metaphlan.profile	SIG038.A0101.metaphlan.profile	SIG037.A0101.metaphlan.profile	SIG036.A0101.metaphlan.profile	SIG035.A0101.metaphlan.profile	SIG034.A0101.metaphlan.profile	SIG033.A0101.metaphlan.profile	SIG032.A0101.metaphlan.profile	SIG031.A0101.metaphlan.profile	SIG026.A0101.metaphlan.profile	SIG025.A0101.metaphlan.profile	SIG024.A0101.metaphlan.profile	SIG021.A0101.metaphlan.profile	SIG018.A0101.metaphlan.profile	SIG010.A0101.metaphlan.profile	SIG005.A0101.metaphlan.profile	SIG004.A0101.metaphlan.profile	SIG002.A0101.metaphlan.profile	SIG001.A0101.metaphlan.profile	RAP002.A0101.metaphlan.profile	RAP001.A0101.metaphlan.profile	PVD001.A0101.metaphlan.profile	PAH003.A0101.metaphlan.profile	PAH002.A0101.metaphlan.profile	PAH001.A0102.metaphlan.profile	NMU131.A0101.metaphlan.profile	NMU130.A0101.metaphlan.profile	NMU129.A0101.metaphlan.profile	NMU128.A0101.metaphlan.profile	NMU127.A0101.metaphlan.profile	NMU126.A0101.metaphlan.profile	NMU125.A0101.metaphlan.profile	NMU124.A0101.metaphlan.profile	NMU123.A0101.metaphlan.profile	NMU122.A0101.metaphlan.profile	NMU121.A0101.metaphlan.profile	NMU120.A0101.metaphlan.profile	NMU119.A0101.metaphlan.profile	NMU118.A0101.metaphlan.profile	NMU117.A0101.metaphlan.profile	NMU116.A0101.metaphlan.profile	NMU115.A0101.metaphlan.profile	NMU089.A0101.metaphlan.profile	NMU067.A0101.metaphlan.profile	NMU065.A0101.metaphlan.profile	NMU059.A0101.metaphlan.profile	NMU047.A0101.metaphlan.profile	NMU021.A0101.metaphlan.profile	NMU020.A0101.metaphlan.profile	NMU014.A0101.metaphlan.profile	NMU009.A0101.metaphlan.profile	NMU001.A0101.metaphlan.profile	LIB030.A0115.metaphlan.profile	LIB030.A0114.metaphlan.profile	LIB030.A0113.metaphlan.profile	LIB030.A0112.metaphlan.profile	LIB027.A0136.metaphlan.profile	HPD007.B0101.metaphlan.profile	HPD006.B0101.metaphlan.profile	HPD005.B0101.metaphlan.profile	HPD004.A0101.metaphlan.profile	HPD003.A0101.metaphlan.profile	HPD002.A0101.metaphlan.profile	HPD001.A0101.metaphlan.profile	HCLVMBCX2-3505-33-00-01_S33.metaphlan.profile	HCLVMBCX2-3505-32-00-01_S32.metaphlan.profile	HCLVMBCX2-3505-31-00-01_S31.metaphlan.profile	HCLVMBCX2-3505-29-00-01_S29.metaphlan.profile	HCLVMBCX2-3505-28-00-01_S28.metaphlan.profile	HCLVMBCX2-3505-27-00-01_S27.metaphlan.profile	HCLVMBCX2-3505-26-00-01_S26.metaphlan.profile	HCLVMBCX2-3505-25-00-01_S25.metaphlan.profile	HCLVMBCX2-3505-24-00-01_S24.metaphlan.profile	HCLVMBCX2-3505-23-00-01_S23.metaphlan.profile	HCLVMBCX2-3505-22-00-01_S22.metaphlan.profile	HCLVMBCX2-3505-21-00-01_S21.metaphlan.profile	HCLVMBCX2-3505-20-00-01_S20.metaphlan.profile	HCLVMBCX2-3505-19-00-01_S19.metaphlan.profile	HCLVMBCX2-3505-18-00-01_S18.metaphlan.profile	HCLVMBCX2-3505-17-00-01_S17.metaphlan.profile	HCLVMBCX2-3505-16-00-01_S16.metaphlan.profile	HCLVMBCX2-3505-15-00-01_S15.metaphlan.profile	HCLVMBCX2-3505-14-00-01_S14.metaphlan.profile	HCLVMBCX2-3505-13-00-01_S13.metaphlan.profile	HCLVMBCX2-3505-12-00-01_S12.metaphlan.profile	HCLVMBCX2-3505-11-00-01_S11.metaphlan.profile	HCLVMBCX2-3505-10-00-01_S10.metaphlan.profile	HCLVMBCX2-3505-09-00-01_S9.metaphlan.profile	HCLVMBCX2-3505-08-00-01_S8.metaphlan.profile	HCLVMBCX2-3505-07-00-01_S7.metaphlan.profile	HCLVMBCX2-3505-06-00-01_S6.metaphlan.profile	HCLVMBCX2-3505-05-00-01_S5.metaphlan.profile	HCLVMBCX2-3505-04-00-01_S4.metaphlan.profile	HCLVMBCX2-3505-03-00-01_S3.metaphlan.profile	HCLVMBCX2-3505-02-00-01_S2.metaphlan.profile	HCLVMBCX2-3505-01-00-01_S1.metaphlan.profile	FUT024.B0101.metaphlan.profile	FUT021.B0101.metaphlan.profile	FUT018.B0101.metaphlan.profile	EXB037.A3401.metaphlan.profile	EXB037.A3301.metaphlan.profile	EXB037.A3201.metaphlan.profile	EXB037.A3101.metaphlan.profile	EXB037.A3001.metaphlan.profile	EXB037.A2901.metaphlan.profile	EFE006.B0101.metaphlan.profile	EFE005.B0101.metaphlan.profile	EFE004.B0101.metaphlan.profile	EFE003.B0101.metaphlan.profile	EFE002.B0101.metaphlan.profile	ATT002.A0101.metaphlan.profile	ATT001.A0101.metaphlan.profile	AON002.A0101.metaphlan.profile	AON001.A0101.metaphlan.profile	ANN004.A0101.metaphlan.profile	ANN003.A0101.metaphlan.profile	ANN002.A0101.metaphlan.profile	ANN001.A0101.metaphlan.profile	ANK001.A0101.metaphlan.profile	AMH004.A0101.metaphlan.profile	AMH003.A0101.metaphlan.profile	AMH002.A0101.metaphlan.profile	AMH001.A0101.metaphlan.profile	AKI002.A0101.metaphlan.profile	AKI001.A0101.metaphlan.profile	AHK001.A0101.metaphlan.profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_bacterium_oral_taxon_272	2|976|||||651591	0.70618	0.4937	0.72008	0.74484	0	0.00749	2.52765	0.82281	0	0	0	0	1.02695	0	0.08764	0	0	0	0	0	0.45707	0	1.93414	0	0.63688	0.89573	1.02899	0	0	0	0	0	0	0	0	0	0	0.52344	0	0.08667	0.68015	0.17583	0.28778	0	0.37867	3.32032	1.10588	1.43354	0.44684	3.07951	0.38843	1.34729	0.11473	4.07372	0.06015	0.6199	0.41886	0.86533	0	0.24983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1504	0.69932	0.14361	0	0	0	0	0	0	0	0	0	0	0.23532	0	0	0	0	0	0	0	0	0	0.08712	0.16272	0	0	0.44096	0.04579	0.14203	0.29137	0	0.10588	0.38697	0	5.41707	0	0	0	4.11623	2.10353	0	0	0	0	0	0	0	0.32283	0.08434	0.65035	1.01361	0.48271	11.32053	3.95978	5.31536	6.60854	5.49262	5.23209	0.92117	2.32805	0	4.37781	3.55637	1.29528	8.36516	2.92649	0.66262	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_oral_taxon_274	2|976|||||652708	0.14541	0.03004	0.00458	0.02354	0.00131	0	0.3794	0.21553	0.41145	0	0	0	0	0	0.09599	0	0	0	0	0	0.61476	0	0.65416	0	0.09869	0.04447	0.22285	0	0	0	0	0	0	0	0	0	0	4.84079	1.37014	2.19787	0.41064	1.12645	0.11044	0	0.26035	0.18403	0.23286	0.28819	0.31443	0.06623	3.06499	1.32135	0.82031	0.0064	0.23275	0.06068	0.42021	1.39256	1.49168	0.76717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05823	1.63564	2.58567	0	0	0	0	0	0	0	0	0.04491	0	0	0	0	0	0	0	0	0	0	0	0.10369	0.40393	0.05446	0.67112	0.05574	0.14061	0	0	0.67915	0.17034	0	0.06619	0	0	0	0	0.08533	1.6426	0	0	0	0	0	0	0	1.49469	3.07656	2.98344	0.21743	0.01976	0.30375	0.75895	0.14699	0.03496	0	0.51943	2.53904	0.12096	0	0	0.06102	1.93509	0.01906	0.19209	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.72484	5.26796	2.54064	8.66375	3.73083	0.15146	2.37712	1.14044	0.35011	0	0	0	3.06593	0	0.63724	0	0	0	0	0	1.3808	0	1.6034	0	2.76852	5.08159	3.64917	0	0	0	0	0	0	0	0	0	0	3.37573	4.83192	6.44913	1.27774	0.84047	0.74154	2.40881	5.42182	2.30204	1.47174	1.16902	3.72145	4.59332	1.32553	2.88535	10.47711	4.87814	0.75616	1.00512	1.34991	5.35392	0.19068	9.56421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91221	2.14259	2.58234	0	0	0	0	0	0	0	0	0.48727	0	0.45717	0	0	0	0	0	0	0	0	0	1.43851	0.94017	1.55573	1.14013	0.55454	2.99659	2.08101	1.47268	0	0.25557	1.04679	0.90817	4.31338	0.02704	0.03039	0	7.25903	1.6372	0	0	0	0	0	0	0	1.61008	3.4533	7.74339	2.25886	1.14179	11.53058	11.5216	9.75633	17.16612	6.67353	30.87114	6.7671	7.76634	0	3.71596	19.09798	22.14106	16.99701	11.9818	5.62605	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.72484	5.26796	2.54064	8.66375	3.73083	0.15146	2.37712	1.14044	0.35011	0	0	0	3.06593	0	0.63724	0	0	0	0	0	1.3808	0	1.6034	0	2.76852	5.08159	3.64917	0	0	0	0	0	0	0	0	0	0	3.37573	4.83192	6.44913	1.27774	0.84047	0.74154	2.40881	5.42182	2.30204	1.47174	1.16902	3.72145	4.59332	1.32553	2.88535	10.47711	4.87814	0.75616	1.00512	1.34991	5.35392	0.19068	9.56421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91221	2.14259	2.58234	0	0	0	0	0	0	0	0	0.48727	0	0.45717	0	0	0	0	0	0	0	0	0	1.43851	0.94017	1.55573	1.14013	0.55454	2.99659	2.08101	1.47268	0	0.25557	1.04679	0.90817	4.31338	0.02704	0.03039	0	7.25903	1.6372	0	0	0	0	0	0	0	1.61008	3.4533	7.74339	2.25886	1.14179	11.53058	11.5216	9.75633	17.16612	6.67353	30.87114	6.7671	7.76634	0	3.71596	19.09798	22.14106	16.99701	11.9818	5.62605	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455	0	0	0	0	0	0	0	0	0	0	0	0.00321	0.0191	0	0	0	0	0	0	0.09001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455	0	0	0	0	0	0	0	0	0	0	0	0.00321	0.0191	0	0	0	0	0	0	0.09001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_heparinolyticus	2|976|200643|171549|815|816|28113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455	0	0	0	0	0	0	0	0	0	0	0	0.00321	0.0191	0	0	0	0	0	0	0.09001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae	2|976|200643|171549|2005520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae|g__Proteiniphilum	2|976|200643|171549|2005520|294702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae|g__Proteiniphilum|s__Proteiniphilum_saccharofermentans	2|976|200643|171549|2005520|294702|1642647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	0	0.02208	0	0.02383	0.02802	0.08754	0.76625	0.29363	0.02061	0	0	0	0.09492	0	0	0	0	0	0	0	0	0	0.1281	0	0.54391	0.63588	0.30091	0	0	0	0	0	0	0	0	0	0	0.44834	1.08724	0.70736	0.19666	0.12678	0	2.08109	0.10074	0.21752	0.10614	0.02293	0.05527	0.041	0.04706	0.08625	0.13982	0.00392	0.01219	0.02271	0.05981	0.36411	0	0.43102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08791	0.37736	0.20364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04652	0.00294	1.36596	0	0.02477	0.04404	0	0.05659	0	0	0.0099	0	0	0	0	0	0.12251	0	0	0	0	0	0	0	0	0.26494	0.09897	2.19035	0.31132	0.26351	9.31585	4.91168	3.50583	4.54776	1.11015	17.72328	0.05215	0.60833	0	2.64292	8.19439	5.53355	9.70429	0.29634	2.14494	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonadaceae_unclassified	2|976|200643|171549|171551|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08109	0	0	0	0	0	0	0.00607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonadaceae_unclassified|s__Porphyromonadaceae_bacterium_KH3CP3RA	2|976|200643|171549|171551||1855396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08109	0	0	0	0	0	0	0.00607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	2|976|200643|171549|171551|836	0	0.02208	0	0.02383	0.02802	0.08754	0.76625	0.29363	0.02061	0	0	0	0.09492	0	0	0	0	0	0	0	0	0	0.1281	0	0.54391	0.63588	0.30091	0	0	0	0	0	0	0	0	0	0	0.44834	1.08724	0.70736	0.19666	0.12678	0	0	0.10074	0.21752	0.10614	0.02293	0.05527	0.041	0.04099	0.08625	0.13982	0.00392	0.01219	0.02271	0.05981	0.36411	0	0.43102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08791	0.37736	0.20364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04652	0.00294	1.36596	0	0.02477	0.04404	0	0.05659	0	0	0.0099	0	0	0	0	0	0.12251	0	0	0	0	0	0	0	0	0.26494	0.09897	2.19035	0.31132	0.26351	9.31585	4.91168	3.50583	4.54776	1.11015	17.72328	0.05215	0.60833	0	2.64292	8.19439	5.53355	9.70429	0.29634	2.14494	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_canoris	2|976|200643|171549|171551|836|36875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00607	0	0	0	0	0	0	0	0	0	0	0	0	0.0441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae	2|976|200643|171549|171551|836|41976	0	0	0	0	0	0	0	0	0.02061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09385	0.09175	0	0.14693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36596	0	0	0.04404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00523	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	2|976|200643|171549|171551|836|28124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207	0.16528	0	0	0	0	0	0.00401	0	0	0	0.00149	0	0	0	0.00464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139	0.2221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.01742	0.02775	0.08053	0	0	0	0	0.0151	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	2|976|200643|171549|171551|836|837	0	0.02208	0	0.02383	0.02802	0.08754	0.76625	0.29363	0	0	0	0	0.09492	0	0	0	0	0	0	0	0	0	0.1281	0	0.54391	0.62982	0.30091	0	0	0	0	0	0	0	0	0	0	0.23151	0.1129	0.70736	0.04973	0.12678	0	0	0.09673	0.21752	0.10614	0.02293	0.05378	0.041	0.04099	0.08625	0.13518	0.00392	0.01219	0.02271	0.05981	0.36411	0	0.43102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07401	0.15526	0.20364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04652	0.00294	0	0	0.02477	0	0	0.05659	0	0	0.0099	0	0	0	0	0	0.12251	0	0	0	0	0	0	0	0	0.26494	0.09897	2.19035	0.31132	0.26351	9.31585	4.91168	3.50583	4.54776	1.10315	17.70586	0.01916	0.52779	0	2.64292	8.19439	5.53355	9.68919	0.29634	2.14494	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae	2|976|200643|171549|171551|836|322095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278	2|976|200643|171549|171551|836|712437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1209	0.38335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0	0	0	0	0	0	0	0	0.1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10053	2.45173	0	0.13855	0	0	0	0.05057	0	0.02168	0.0445	0.01856	0	0.00612	0	0.00415	0.00263	0.0167	0	0.00258	0.25981	0	0.00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09639	0.68614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03114	0.00862	0	0	0.06341	0	0	0	0	0	0	0	0	0	0	0.03041	0	0	0	0	0	0	0	0	0	0.05418	0.00548	0	0	0.00341	0	0.18076	0.00593	0	0.02638	0.24386	0.01901	0	0	0	0.01037	0.00371	0.02366	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	0	0	0	0	0	0	0	0	0.1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10053	2.45173	0	0.13855	0	0	0	0.05057	0	0.02168	0.0445	0.01856	0	0.00612	0	0.00415	0.00263	0.0167	0	0.00258	0.25981	0	0.00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09639	0.68614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03114	0.00862	0	0	0.06341	0	0	0	0	0	0	0	0	0	0	0.03041	0	0	0	0	0	0	0	0	0	0.05418	0.00548	0	0	0.00341	0	0.18076	0.00593	0	0.02638	0.24386	0.01901	0	0	0	0.01037	0.00371	0.02366	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_baroniae	2|976|200643|171549|171552|838|305719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00423	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae	2|976|200643|171549|171552|838|28126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0	0	0
