"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"SourceSink"	"Env"
"HCLVMBCX2-3505-24-00-01_S24"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-25-00-01_S25"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-26-00-01_S26"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-27-00-01_S27"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-28-00-01_S28"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-29-00-01_S29"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-31-00-01_S31"	NA	NA	"thisStudy"	"sink"	"calculus"
"HCLVMBCX2-3505-33-00-01_S33"	NA	NA	"thisStudy"	"sink"	"calculus"
"JAE006.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"JAE007.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"JAE008.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"JAE009.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"JAE012.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"NMU115.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU116.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU117.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU118.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU119.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU120.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU121.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU122.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU123.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU124.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU125.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU126.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU127.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU128.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU129.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU130.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"NMU131.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"PAH001.A0102"	NA	NA	"thisStudy"	"sink"	"calculus"
"PAH002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"PAH003.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"PVD001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"RAP001.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"RAP002.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG031.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG032.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG033.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG034.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG035.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG036.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG037.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG038.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG039.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG040.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG040.A0201"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG041.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG042.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG043.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG044.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG045.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG046.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG046.A0201"	NA	NA	"thisStudy"	"sink"	"calculus"
"SIG047.A0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"SRR059389"	NA	NA	"HMP2012"	"source"	"urbanGut"
"SRR059454"	NA	NA	"HMP2012"	"source"	"urbanGut"
"SRR059455"	NA	NA	"HMP2012"	"source"	"urbanGut"
"SRR059917"	NA	NA	"HMP2012"	"source"	"urbanGut"
"SRR060358"	NA	NA	"HMP2012"	"source"	"urbanGut"
"SRR061192"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR061294"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR061320"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR061365"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR061562"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR062083"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR062298"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR062299"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR063517"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR1631060"	NA	NA	"Oh2016"	"source"	"skin"
"SRR1631061"	NA	NA	"Oh2016"	"source"	"skin"
"SRR1631063"	NA	NA	"Oh2016"	"source"	"skin"
"SRR1631064"	NA	NA	"Oh2016"	"source"	"skin"
"SRR1633008"	NA	NA	"Oh2016"	"source"	"skin"
"SRR1761677"	NA	NA	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761682"	NA	NA	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761688"	NA	NA	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761698"	NA	NA	"ObregonTito2015"	"source"	"ruralGut"
"SRR1761705"	NA	NA	"ObregonTito2015"	"source"	"ruralGut"
"SRR1761721"	NA	NA	"ObregonTito2015"	"source"	"ruralGut"
"SRR1804664"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR1804823"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR1929408"	NA	NA	"Rampelli2015"	"source"	"ruralGut"
"SRR1930121"	NA	NA	"Rampelli2015"	"source"	"ruralGut"
"SRR1930123"	NA	NA	"Rampelli2015"	"source"	"ruralGut"
"SRR1930141"	NA	NA	"Rampelli2015"	"source"	"ruralGut"
"SRR1930145"	NA	NA	"Rampelli2015"	"source"	"ruralGut"
"SRR3184100"	NA	NA	"Oh2016"	"source"	"skin"
"SRR3184876"	NA	NA	"Oh2016"	"source"	"skin"
"SRR3189411"	NA	NA	"Oh2016"	"source"	"skin"
"SRR3189416"	NA	NA	"Oh2016"	"source"	"skin"
"SRR3189418"	NA	NA	"Oh2016"	"source"	"skin"
"SRR512767"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR513165"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR513449"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR513768"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR513775"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR513828"	NA	NA	"HMP2012"	"source"	"supPlaque"
"SRR514202"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR514239"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR514306"	NA	NA	"HMP2012"	"source"	"subPlaque"
"SRR514329"	NA	NA	"HMP2012"	"source"	"subPlaque"
"TAP001.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TAP003.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TON001.C0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TON003.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TON004.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TON005.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TON006.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"TON007.B0101"	NA	NA	"thisStudy"	"sink"	"calculus"
"VLC001.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"VLC002.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"VLC003.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"VLC004.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"VLC005.A0101"	NA	NA	"evolution"	"source"	"modernCalculus"
"NMU001.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU009.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG025.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG001.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG005.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG010.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU021.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU059.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG021.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU014.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU065.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU089.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG024.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU020.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU047.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"NMU067.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG026.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG002.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG004.A0101"	NA	NA	"Naegele"	"source"	"archBone"
"SIG018.A0101"	NA	NA	"Naegele"	"source"	"archBone"

