LibraryID	LibraryID2	SampleID	ArchID_burial	Type	Island	Site	Age_BP	Age_mean	Lab	Lat	Long
FUT021.B0101	FUT021.B0101	FUT021	Furs 9, 78	calculus	Futuna	Vanuatu	1100	NA	Jena	-19.5116	170.23
FUT024.B0101	FUT024.B0101	FUT024	Furs 11	calculus	Futuna	Vanuatu	1100	NA	Jena	-19.5116	170.23
HCLVMBCX2-3505-01-00-01_S1	HCLVMBCX2-3505-01-00-01.S1	S1	B08	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-02-00-01_S2	HCLVMBCX2-3505-02-00-01.S2	S2	B16	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-03-00-01_S3	HCLVMBCX2-3505-03-00-01.S3	S3	B19	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-04-00-01_S4	HCLVMBCX2-3505-04-00-01.S4	S4	7c_B2b	calculus	Efate_3000	Teouma	2400	2400	Otago	-17.7957	168.3661
HCLVMBCX2-3505-05-00-01_S5	HCLVMBCX2-3505-05-00-01.S5	S5	B10B	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-06-00-01_S6	HCLVMBCX2-3505-06-00-01.S6	S6	B30A	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-07-00-01_S7	HCLVMBCX2-3505-07-00-01.S7	S7	B10C	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-08-00-01_S8	HCLVMBCX2-3505-08-00-01.S8	S8	B29M	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-09-00-01_S9	HCLVMBCX2-3505-09-00-01.S9	S9	B29W	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-10-00-01_S10	HCLVMBCX2-3505-10-00-01.S10	S10	B30C	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-11-00-01_S11	HCLVMBCX2-3505-11-00-01.S11	S11	B02	calculus	Uripiv	Uripiv	2400	2400	Otago	-16.0899	167.458
HCLVMBCX2-3505-12-00-01_S12	HCLVMBCX2-3505-12-00-01.S12	S12	B8	calculus	Uripiv	Uripiv	2500	2500	Otago	-16.0899	167.458
HCLVMBCX2-3505-14-00-01_S14	HCLVMBCX2-3505-14-00-01.S14	S14	B05	calculus	Vao	Vao	2100	2100	Otago	-15.8979	167.3091
HCLVMBCX2-3505-15-00-01_S15	HCLVMBCX2-3505-15-00-01.S15	S15	B05	calculus	Vao	Vao	2100	2100	Otago	-15.8979	167.3091
HCLVMBCX2-3505-16-00-01_S16	HCLVMBCX2-3505-16-00-01.S16	S16	B06	calculus	Vao	Vao	2100	2100	Otago	-15.8979	167.3091
HCLVMBCX2-3505-17-00-01_S17	HCLVMBCX2-3505-17-00-01.S17	S17	B14	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-17-00-01_S26	HCLVMBCX2-3505-17-00-01.S26	S26	B02b	calculus	Vao	Vao	2100	2100	Otago	-15.8979	167.3091
HCLVMBCX2-3505-18-00-01_S18	HCLVMBCX2-3505-18-00-01.S18	S18	B19	calculus	Uripiv	Uripiv	2500	2500	Otago	-16.0899	167.458
HCLVMBCX2-3505-20-00-01_S20	HCLVMBCX2-3505-20-00-01.S20	S20	B23	calculus	Uripiv	Uripiv	2300	2300	Otago	-16.0899	167.458
HCLVMBCX2-3505-21-00-01_S21	HCLVMBCX2-3505-21-00-01.S21	S21	B18	calculus	Uripiv	Uripiv	2190	2190	Otago	-16.0899	167.458
HCLVMBCX2-3505-22-00-01_S22	HCLVMBCX2-3505-22-00-01.S22	S22	B3	calculus	Watom	Watom	2500	2500	Otago	-4.1148	152.0679
HCLVMBCX2-3505-23-00-01_S23	HCLVMBCX2-3505-23-00-01.S23	S23	B53	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-24-00-01_S24	HCLVMBCX2-3505-24-00-01.S24	S24	7c_B4	calculus	Efate_3000	Teouma	2400	2400	Otago	-17.7957	168.3661
HCLVMBCX2-3505-25-00-01_S25	HCLVMBCX2-3505-25-00-01.S25	S25	B76	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-27-00-01_S27	HCLVMBCX2-3505-27-00-01.S27	S27	B04	calculus	Vao	Vao	2100	2100	Otago	-15.8979	167.3091
HCLVMBCX2-3505-28-00-01_S28	HCLVMBCX2-3505-28-00-01.S28	S28	B8	calculus	Watom	Watom	2500	2500	Otago	-4.1148	152.0679
HCLVMBCX2-3505-29-00-01_S29	HCLVMBCX2-3505-29-00-01.S29	S29	B59	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-31-00-01_S31	HCLVMBCX2-3505-31-00-01.S31	S31	B60	calculus	Efate_3000	Teouma	3000	3000	Otago	-17.7957	168.3661
HCLVMBCX2-3505-33-00-01_S33	HCLVMBCX2-3505-33-00-01.S33	S33	B33	calculus	Uripiv	Uripiv	2100	2100	Otago	-16.0899	167.458
NMU115.A0101	NMU115.A0101	NMU115	B1_1	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU116.A0101	NMU116.A0101	NMU116	B2	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU117.A0101	NMU117.A0101	NMU117	B11_1	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU118.A0101	NMU118.A0101	NMU118	B20	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU119.A0101	NMU119.A0101	NMU119	B21	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU120.A0101	NMU120.A0101	NMU120	B34	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU121.A0101	NMU121.A0101	NMU121	B54	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU122.A0101	NMU122.A0101	NMU122	B68	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU123.A0101	NMU123.A0101	NMU123	B70	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU124.A0101	NMU124.A0101	NMU124	B84	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU125.A0101	NMU125.A0101	NMU125	B88	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU126.A0101	NMU126.A0101	NMU126	B91	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU127.A0101	NMU127.A0101	NMU127	B104	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU128.A0101	NMU128.A0101	NMU128	B108	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU129.A0101	NMU129.A0101	NMU129	B109	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU130.A0101	NMU130.A0101	NMU130	B159	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU131.A0101	NMU131.A0101	NMU131	B194	calculus	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
PAH001.A0102	PAH001.A0102	PAH001	PH16 (B23)	calculus	Flores	Pain_Haka	3000	3000	Oklahoma	-8.6224	120.9186
PAH002.A0101	PAH002.A0101	PAH002	PH27_B7	calculus	Flores	Pain_Haka	3000	3000	Oklahoma	-8.6224	120.9186
PAH003.A0101	PAH003.A0101	PAH003	PH06_B47a	calculus	Flores	Pain_Haka	3000	3000	Oklahoma	-8.6224	120.9186
RAP001.A0101	RAP001.A0101	RAP001	RNA937_NRN_3	calculus	Rapa_Nui	NA	620-80	350	Oklahoma	-27.105794	-109.363193
RAP002.A0101	RAP002.A0101	RAP002	RNA944_NRN_4	calculus	Rapa_Nui	NA	620-80	350	Oklahoma	-27.105794	-109.363193
SIG031.A0101	SIG031.A0101	SIG031	SVF01	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG032.A0101	SIG032.A0101	SIG032	SVF02	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG033.A0101	SIG033.A0101	SIG033	SVF03	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG034.A0101	SIG034.A0101	SIG034	SVF08	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG035.A0101	SIG035.A0101	SIG035	SVF14	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG036.A0101	SIG036.A0101	SIG036	SVF19	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG037.A0101	SIG037.A0101	SIG037	03_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG038.A0101	SIG038.A0101	SIG038	17_3	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG039.A0101	SIG039.A0101	SIG039	21	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG040.A0101	SIG040.A0101	SIG040	26_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG040.A0201	SIG040.A0201	SIG040	26_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG041.A0101	SIG041.A0101	SIG041	29_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG042.A0101	SIG042.A0101	SIG042	32_2	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG043.A0101	SIG043.A0101	SIG043	60_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG044.A0101	SIG044.A0101	SIG044	65	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG045.A0101	SIG045.A0101	SIG045	69_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG046.A0101	SIG046.A0101	SIG046	72_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG046.A0201	SIG046.A0201	SIG046	72_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
SIG047.A0101	SIG047.A0101	SIG047	79_1	calculus	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Jena	-18.1421	177.5077
TAP001.B0101	TAP001.B0101	TAP001	Pieve d' investiture, Haurari?	calculus	Raiatea	Taputapuatea	NA	NA	Jena	-16.8424	-151.3873
TAP003.B0101	TAP003.B0101	TAP003	Pieve d' investiture, Piquet 33	calculus	Raiatea	Taputapuatea	270-0	135	Jena	-16.8424	-151.3873
TON001.C0101	TON001.C0101	TON001	SK3_1	calculus	Tongatapu	Talasiu	2670-2320 	2495	Jena	-21.191	-175.1922
TON003.B0101	TON003.B0101	TON003	SK9_3	calculus	Tongatapu	Talasiu	NA	NA	Jena	-21.191	-175.1922
TON004.B0101	TON004.B0101	TON004	SK10	calculus	Tongatapu	Talasiu	2680-2340	2510	Jena	-21.191	-175.1922
TON005.B0101	TON005.B0101	TON005	SK12	calculus	Tongatapu	Talasiu	NA	NA	Jena	-21.191	-175.1922
TON006.B0101	TON006.B0101	TON006	SK14	calculus	Tongatapu	Talasiu	NA	NA	Jena	-21.191	-175.1922
TON007.B0101	TON007.B0101	TON007	BG3	calculus	Tongatapu	Talasiu	NA	NA	Jena	-21.191	-175.1922
