#OTU ID	EXB037.A2901	EXB037.A3001	EXB037.A3101	EXB037.A3201	EXB037.A3301	EXB037.A3401	HCLVMBCX2-3505-13-00-01_S13	HCLVMBCX2-3505-19-00-01_S19	HCLVMBCX2-3505-32-00-01_S32	LIB030.A0112	LIB030.A0113	LIB030.A0114	LIB030.A0115
Afipia clevelandensis	26	23	26	52	10	6	0	47	59	29	10	33	9
Afipia felis	41	46	9	27	27	17	0	17	30	7	0	7	0
Afipia sp. GAS231	97	68	0	6	280	15	0	32	338	11	0	11	0
Agrobacterium deltaense	0	0	0	0	0	0	0	0	0	0	5	0	0
Agrobacterium genomosp. 5	21	10	0	11	9	0	0	0	0	7	0	0	0
Agrobacterium rhizogenes	14	0	0	0	0	0	0	0	0	0	14	0	0
Agrobacterium sp. MS2	44	28	0	0	45	0	0	0	0	0	0	0	0
Agrobacterium sp. RAC06	0	0	0	0	6	0	0	0	0	0	0	0	0
Agrobacterium sp. SUL3	30	13	0	0	19	0	0	0	0	0	0	0	0
Agrobacterium tumefaciens	12	0	0	0	0	0	0	0	0	0	0	0	0
Agrococcus baldri	0	6	15	18	0	10	0	0	0	0	7	0	0
Agrococcus carbonis	0	0	6	17	0	12	0	0	0	0	0	0	0
Agrococcus lahaulensis	0	0	5	10	0	23	0	0	0	0	0	0	0
Agromyces aureus	0	0	0	0	0	0	0	0	0	0	5	0	0
Aidingimonas halophila	0	0	0	0	0	0	0	0	0	0	15	0	0
Akkermansia muciniphila	0	0	0	0	0	0	0	19	0	0	0	0	0
Albidiferax sp. OV413	0	0	29	8	22	0	0	29	11	20	13	10	8
Albimonas pacifica	0	0	0	11	0	0	0	0	0	0	0	0	0
Alcaligenes faecalis	188	162	0	0	196	9	0	0	0	0	0	5	7
Alcanivorax pacificus	0	0	0	16	0	0	0	0	0	0	0	0	0
Alcanivorax sp. N3-2A	0	0	0	0	0	0	0	0	0	0	16	9	7
Alicycliphilus denitrificans	27	20	8	8	48	11	0	64	6	15	0	0	27
Aliidiomarina maris	0	0	0	0	0	0	0	0	0	0	5	0	0
Alistipes finegoldii	0	0	0	0	0	0	0	11	0	0	0	0	0
Alistipes putredinis	0	0	0	0	0	0	0	25	0	0	0	0	0
Alkalimonas amylolytica	0	0	0	0	0	0	0	0	0	6	0	0	0
Alkanindiges illinoisensis	0	16	0	0	0	0	0	0	0	0	6	0	0
Allonocardiopsis opalescens	0	0	0	0	0	0	0	0	0	0	0	0	9
Alloprevotella tannerae	0	0	10	0	0	0	0	0	0	0	0	0	0
Alloscardovia sp. HMSC034E08	0	0	0	0	0	0	0	0	0	20	0	0	0
Altererythrobacter atlanticus	0	0	0	0	0	0	0	0	0	13	0	0	0
Altererythrobacter dongtanensis	0	0	0	13	0	0	0	0	0	0	0	0	0
Altererythrobacter mangrovi	0	0	0	0	0	0	0	0	0	8	5	0	0
Altererythrobacter marensis	0	0	0	6	0	9	0	0	0	21	11	0	0
Altererythrobacter sp. B11	0	0	0	5	0	0	0	0	0	7	0	0	0
Alteromonadales bacterium BS08	0	0	0	0	0	0	0	0	0	0	4	0	0
Aminobacter aminovorans	12	8	0	0	0	0	0	0	0	0	0	0	0
Aminobacter sp. MSH1	15	5	0	5	13	0	0	0	0	0	0	0	5
Aminobacter sp. Root100	0	0	0	0	0	0	0	0	0	0	8	0	0
Aminomonas paucivorans	0	0	0	0	0	0	0	0	0	0	5	0	0
Amycolatopsis benzoatilytica	0	0	0	0	0	0	0	0	0	0	0	0	11
Amycolatopsis kentuckyensis	0	0	0	0	0	0	0	0	0	0	0	0	4
Amycolatopsis pretoriensis	7	0	0	12	0	18	0	0	0	28	25	38	30
Amycolatopsis sp. M39	0	0	0	0	0	0	0	0	0	0	0	0	3
Anaerobium acetethylicum	0	0	0	0	0	0	0	0	0	0	0	0	8
Anaerococcus nagyae	4	0	0	0	0	0	0	0	0	8	0	0	0
Anaerococcus octavius	10	0	0	0	6	0	0	0	0	0	0	0	0
Anaerococcus prevotii	0	0	0	0	0	0	0	0	0	0	0	0	3
Anaerolineaceae bacterium oral taxon 439	155	6	0	6	93	0	7157	97	46	19	2248	280	39
Anaeromassilibacillus senegalensis	0	0	0	0	0	0	0	0	0	0	0	126	0
Anaeromyxobacter dehalogenans	0	0	0	0	0	0	0	0	882	0	0	0	0
Anaeromyxobacter sp. Fw109-5	0	0	0	0	0	0	0	0	941	0	0	0	0
Anaeromyxobacter sp. K	0	0	0	0	0	0	0	0	212	0	0	0	0
Anaerosalibacter massiliensis	2051	149	177	296	0	0	0	0	22	6008	1079	28	1211
Anaplasma phagocytophilum	60	18	0	7	0	33	0	0	0	73	13	31	64
Angustibacter sp. Root456	0	0	0	0	35	0	0	0	92	0	0	0	424
Anoxybacillus flavithermus	21	0	10	0	5	0	0	0	0	0	0	0	0
Anoxybacillus sp. 103	0	0	0	0	0	0	0	0	0	0	0	0	4
Aquabacterium olei	29	59	37	37	65	31	0	181	32	45	24	33	26
Aquamicrobium aerolatum	6	0	0	0	0	0	0	0	0	0	0	0	0
Aquamicrobium defluvii	31	20	0	0	21	0	0	0	0	0	0	0	0
Aquaspirillum sp. LM1	0	0	0	0	0	0	0	0	0	0	0	8	0
Aquimarina muelleri	0	0	0	0	0	0	0	0	0	0	0	6	0
Aquimonas voraii	0	0	0	0	0	0	0	0	0	12	7	0	0
Aquincola tertiaricarbonis	31	12	21	6	17	0	0	43	8	7	78	7	16
Aquitalea magnusonii	13	0	47	22	10	12	0	0	0	72	12	51	0
Arabia massiliensis	0	0	0	0	0	0	3	0	0	0	31	7	0
Archangium gephyra	0	0	0	0	0	41	0	0	24	0	0	0	0
Arcicella aurantiaca	0	0	8	0	0	0	0	0	0	0	7	12	0
Arcobacter cryaerophilus	0	0	0	0	0	0	0	17	0	0	0	0	0
Arcobacter suis	0	0	0	7	0	0	0	38	0	9	8	0	0
Arenimonas caeni	0	0	0	0	0	0	0	0	0	0	16	0	0
Arenimonas composti	0	0	0	0	0	0	0	0	12	0	11	0	0
Arsenicicoccus sp. oral taxon 190	0	0	0	0	0	0	0	0	0	0	0	0	20
Arthrobacter castelli	0	0	0	0	0	0	0	0	0	0	0	0	10
Arthrobacter pityocampae	0	0	0	0	0	10	0	0	0	0	0	0	0
Arthrobacter sp. CAL618	0	0	0	3	0	0	0	0	0	0	0	0	0
Arthrobacter sp. Edens01	0	0	0	0	0	0	0	0	0	0	0	0	6
Arthrobacter sp. L77	0	0	0	15	0	0	0	0	0	0	0	0	0
Arthrobacter sp. Leaf234	0	0	0	0	0	3	0	0	0	9	0	0	0
Arthrobacter sp. OY3WO11	0	0	0	0	0	0	0	0	0	0	0	0	5
Arthrobacter sp. Soil782	0	0	28	61	0	0	0	0	0	0	0	0	0
Arthrobacter sp. UCD-GKA	0	0	0	13	0	0	0	0	0	0	0	0	0
Asaccharobacter celatus	0	0	0	0	0	0	0	0	0	0	9	0	0
Asinibacterium sp. OR43	30	134	0	0	78	48	0	0	0	0	0	0	0
Asinibacterium sp. OR53	23	162	11	13	74	76	0	0	0	17	4	13	0
Asticcacaulis biprosthecium	0	19	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis excentricus	0	31	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis taihuensis	0	0	2	4	0	0	0	0	0	0	0	22	0
Atopobium sp. oral taxon 199	0	0	0	0	0	0	0	0	0	0	4	0	0
Atopobium sp. oral taxon 810	0	0	0	0	0	0	7	0	0	0	0	0	0
Aurantimonas manganoxydans	0	0	0	0	0	0	0	0	0	6	0	0	0
Aureimonas altamirensis	0	0	0	0	0	0	0	0	0	0	0	3	0
Aureimonas jatrophae	0	0	9	0	0	0	0	0	0	0	0	0	0
Aureimonas sp. AU20	0	0	7	0	0	0	0	0	0	0	0	0	0
Aureimonas sp. Leaf460	0	8	13	0	0	0	0	0	0	0	0	0	0
Auricoccus indicus	0	32	0	43	0	0	0	0	0	0	0	0	0
Azoarcus communis	0	0	0	0	0	0	0	0	0	0	0	0	7
Azohydromonas australica	18	14	19	7	16	0	0	33	14	0	2	0	6
Azonexus fungiphilus	0	0	0	5	0	0	0	0	0	0	0	0	0
Azorhizobium doebereinerae	0	13	11	0	11	0	0	0	0	0	0	0	11
Azospirillum brasilense	5	5	0	9	8	4	0	0	16	4	11	0	7
Azospirillum halopraeferens	0	0	0	0	0	0	0	0	0	0	8	0	0
Azospirillum ramasamyi	0	0	0	0	0	0	0	0	0	0	0	0	6
Azotobacter beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	5
Azotobacter vinelandii	0	0	0	0	0	0	0	0	0	0	5	0	0
Azovibrio restrictus	0	0	0	0	0	0	0	0	0	0	0	0	8
Bacillus aciditolerans	0	11	2	0	4	5	0	0	0	10	17	0	0
Bacillus cereus	0	0	0	0	0	0	0	0	0	0	13	0	0
Bacillus coagulans	24	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus pseudomycoides	0	0	0	0	0	0	0	0	0	0	0	11	0
Bacillus shackletonii	0	0	0	0	0	0	0	0	0	0	0	5	0
Bacillus sp. S1-R5C1-FB	0	0	0	0	0	0	0	0	0	5	13	9	0
Bacillus thermoamylovorans	47	0	13	0	0	0	0	0	0	0	0	0	0
Bacillus thuringiensis	5	0	8	33	0	647	0	153	0	65	130	58	3546
Bacteroides cellulosilyticus	0	0	0	0	0	0	0	34	0	0	0	0	0
Bacteroides coprocola	0	0	0	0	0	0	0	29	0	0	0	0	0
Bacteroides ovatus	0	0	0	0	0	0	0	19	0	0	0	0	0
Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	19	0	0	0	0	0
Bacteroides vulgatus	0	0	0	0	0	0	0	26	0	0	0	0	0
Bacteroidetes oral taxon 274	0	0	0	0	0	0	283	0	0	0	25	0	9
Bdellovibrio bacteriovorus	0	0	0	0	0	0	0	0	0	0	17	11	0
Belnapia moabensis	0	0	0	0	0	0	0	0	0	14	0	0	0
Belnapia rosea	16	12	15	0	10	7	0	0	0	12	8	0	0
beta proteobacterium CB	15	6	16	36	0	0	0	0	9	5	7	0	0
Betaproteobacteria bacterium GR16-43	0	0	0	0	0	0	0	0	7	0	0	0	7
Betaproteobacteria bacterium MOLA814	0	0	0	0	0	0	0	0	0	13	0	0	0
Bifidobacterium adolescentis	0	0	0	0	0	0	0	42	0	0	0	0	0
Bifidobacterium boum	0	0	0	0	0	0	0	0	0	9	0	0	0
Bifidobacterium dentium	24	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium longum	0	0	0	0	0	0	0	24	0	0	0	0	0
Bifidobacterium pseudocatenulatum	0	0	0	0	0	0	0	0	0	7	0	0	0
Bifidobacterium thermophilum	0	11	0	0	0	0	0	0	0	0	0	0	3
Blastochloris viridis	0	0	0	0	0	0	0	0	21	0	0	0	0
Blastococcus endophyticus	0	0	0	0	0	0	0	0	0	10	0	0	0
Blastococcus sp. DSM 46786	0	0	0	10	0	0	0	0	0	9	0	0	9
Blastococcus sp. DSM 46838	0	0	0	9	0	0	0	0	0	41	0	0	0
Blastococcus sp. URHD0036	0	0	0	0	0	0	0	0	0	3	0	0	10
Blastomonas natatoria	12	0	0	10	8	0	0	13	0	0	0	0	7
Blautia obeum	0	0	0	0	0	0	0	14	0	0	0	0	0
Blautia sp. Marseille-P3201T	0	0	0	0	0	0	0	0	0	7	0	0	0
Bordetella bronchiseptica	17	11	0	0	16	0	0	10	0	0	0	0	0
Bordetella genomosp. 13	0	0	0	0	10	0	0	0	0	0	0	0	0
Bordetella hinzii	0	0	0	0	8	0	0	0	0	0	0	0	0
Bordetella petrii	11	0	0	0	3	0	0	0	0	7	7	0	0
Bordetella pseudohinzii	0	0	0	0	0	0	0	29	0	0	0	0	0
Bordetella sp. FB-8	0	0	0	0	0	0	0	0	0	0	0	0	4
Bosea lathyri	13	6	0	0	9	0	0	0	0	0	0	0	0
Bosea sp. 1131	2	12	0	0	0	0	0	0	0	0	0	0	0
Bosea sp. 117	0	0	0	7	0	0	0	0	0	0	0	0	0
Bosea sp. AS-1	742	429	19	27	662	13	0	0	0	10	0	10	9
Bosea sp. Leaf344	12	13	0	0	17	0	0	0	0	0	0	0	0
Bosea sp. OK403	0	0	0	0	14	0	0	0	0	0	0	0	0
Bosea sp. PAMC 26642	18	6	0	0	18	0	0	0	0	0	0	0	0
Bosea sp. RAC05	147	58	0	12	119	0	0	11	0	7	0	12	0
Bosea sp. Root381	30	14	0	0	45	0	0	0	0	0	0	0	0
Bosea sp. Root483D1	34	11	0	5	29	0	0	21	13	0	5	0	0
Bosea sp. Root670	103	88	0	23	98	0	0	23	0	0	8	0	0
Bosea sp. UNC402CLCol	228	167	7	19	216	7	0	12	0	0	8	0	0
Bosea vaviloviae	8	0	0	0	9	0	0	0	0	0	0	0	0
Brachybacterium alimentarium	0	0	0	15	0	0	0	56	0	0	0	0	0
Brachybacterium avium	0	0	0	8	0	0	0	0	0	0	0	0	0
Brachybacterium faecium	0	0	0	6	0	0	0	14	0	0	0	0	2
Brachybacterium ginsengisoli	0	0	8	0	0	0	0	23	0	0	0	0	6
Brachybacterium muris	0	0	35	104	0	0	0	0	0	13	0	0	14
Brachybacterium saurashtrense	0	0	0	5	0	0	0	12	0	0	0	0	0
Brachybacterium sp. HMSC06H03	12	0	6	7	9	4	0	17	0	12	0	0	0
Brachybacterium sp. P6-10-X1	0	0	0	9	0	0	0	17	0	0	0	0	0
Brachybacterium timonense	0	21	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium vulturis	0	0	0	7	0	0	0	0	0	0	0	0	0
Brachymonas denitrificans	0	0	0	0	5	0	0	0	0	8	0	0	11
Bradyrhizobiaceae bacterium SG-6C	16	22	13	40	0	9	0	39	80	13	7	20	0
Bradyrhizobium amphicarpaeae	52	53	0	0	30	14	0	0	23	6	0	0	0
Bradyrhizobium arachidis	21	18	0	0	10	15	0	0	13	0	0	0	0
Bradyrhizobium diazoefficiens	44	44	0	5	27	20	0	0	29	11	0	0	6
Bradyrhizobium elkanii	422	671	25	34	542	85	0	37	251	107	15	35	37
Bradyrhizobium erythrophlei	63	80	6	49	91	29	0	42	2044	11	20	18	9
Bradyrhizobium forestalis	20	33	0	11	18	24	0	0	12	16	13	13	13
Bradyrhizobium icense	27	40	0	14	29	12	0	8	61	8	0	0	4
Bradyrhizobium japonicum	252	330	14	54	263	113	0	34	138	57	17	7	45
Bradyrhizobium jicamae	34	38	0	9	56	26	0	30	69	0	9	12	0
Bradyrhizobium lablabi	88	77	12	23	121	31	0	51	630	10	19	18	13
Bradyrhizobium macuxiense	80	128	0	4	74	12	0	13	36	16	0	13	0
Bradyrhizobium manausense	39	54	0	5	70	26	0	0	13	19	0	0	10
Bradyrhizobium neotropicale	11	13	0	0	11	10	0	0	16	0	0	0	0
Bradyrhizobium nitroreducens	49	36	0	0	19	14	0	0	17	13	0	0	6
Bradyrhizobium oligotrophicum	14	30	0	8	25	0	0	0	31	5	0	0	0
Bradyrhizobium ottawaense	18	27	0	0	32	2	0	0	52	0	0	0	0
Bradyrhizobium pachyrhizi	72	101	0	6	94	10	0	0	20	24	0	0	4
Bradyrhizobium sacchari	32	35	0	13	13	6	0	0	16	13	0	0	0
Bradyrhizobium sp.	19	18	0	0	17	0	0	0	15	9	0	0	0
Bradyrhizobium sp. Ai1a-2	31	43	0	0	26	0	0	0	66	0	0	0	8
Bradyrhizobium sp. AT1	25	24	0	0	32	8	0	0	5	0	0	0	0
