pathway	detail_group	major_group	map
map00930 Caprolactam degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00930
map00950 Isoquinoline alkaloid biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00950
map00960 Tropane, piperidine and pyridine alkaloid biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00960
map00966 Glucosinolate biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00966
map00970 Aminoacyl-tRNA biosynthesis	Translation	Genetic Information Processing	map00970
map00980 Metabolism of xenobiotics by cytochrome P450	Xenobiotics biodegradation and metabolism	Metabolism	map00980
map00982 Drug metabolism - cytochrome P450	Xenobiotics biodegradation and metabolism	Metabolism	map00982
map00983 Drug metabolism - other enzymes	Xenobiotics biodegradation and metabolism	Metabolism	map00983
map00999 Biosynthesis of various plant secondary metabolites; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00999
map01040 Biosynthesis of unsaturated fatty acids	Lipid metabolism	Metabolism	map01040
map01051 Biosynthesis of ansamycins	Metabolism of terpenoids and polyketides	Metabolism	map01051
map01053 Biosynthesis of siderophore group nonribosomal peptides	Metabolism of terpenoids and polyketides	Metabolism	map01053
map01054 Nonribosomal peptide structures	Metabolism of terpenoids and polyketides	Metabolism	map01054
map01100 Metabolic pathways	Global and overview maps	Metabolism	map01100
map01110 Biosynthesis of secondary metabolites	Global and overview maps	Metabolism	map01110
map01120 Microbial metabolism in diverse environments	Global and overview maps	Metabolism	map01120
map01200 Carbon metabolism	Global and overview maps	Metabolism	map01200
map01210 2-Oxocarboxylic acid metabolism	Global and overview maps	Metabolism	map01210
map01212 Fatty acid metabolism	Global and overview maps	Metabolism	map01212
map01220 Degradation of aromatic compounds	Global and overview maps	Metabolism	map01220
map01230 Biosynthesis of amino acids	Global and overview maps	Metabolism	map01230
map01232 Nucleotide metabolism	Global and overview maps	Metabolism	map01232
map01240 Biosynthesis of cofactors	Global and overview maps	Metabolism	map01240
map01250 Biosynthesis of nucleotide sugars	Global and overview maps	Metabolism	map01250
map02010 ABC transporters	Membrane transport	Environmental Information Processing	map02010
map02020 Two-component system	Signal transduction	Environmental Information Processing	map02020
map02024 Quorum sensing	Cellular community - prokaryotes	Cellular Processes	map02024
map02025 Biofilm formation - Pseudomonas aeruginosa	Cellular community - prokaryotes	Cellular Processes	map02025
map02026 Biofilm formation - Escherichia coli	Cellular community - prokaryotes	Cellular Processes	map02026
map02030 Bacterial chemotaxis	Cell motility	Cellular Processes	map02030
map02040 Flagellar assembly	Cell motility	Cellular Processes	map02040
map02060 Phosphotransferase system (PTS)	Membrane transport	Environmental Information Processing	map02060
map03008 Ribosome biogenesis in eukaryotes	Translation	Genetic Information Processing	map03008
map03010 Ribosome	Translation	Genetic Information Processing	map03010
map03013 Nucleocytoplasmic transport	Translation	Genetic Information Processing	map03013
map03018 RNA degradation	Folding, sorting and degradation	Genetic Information Processing	map03018
map03020 RNA polymerase	Transcription	Genetic Information Processing	map03020
map03022 Basal transcription factors	Transcription	Genetic Information Processing	map03022
map03030 DNA replication	Replication and repair	Genetic Information Processing	map03030
map03060 Protein export	Folding, sorting and degradation	Genetic Information Processing	map03060
map03070 Bacterial secretion system	Membrane transport	Environmental Information Processing	map03070
map03410 Base excision repair	Replication and repair	Genetic Information Processing	map03410
map03420 Nucleotide excision repair	Replication and repair	Genetic Information Processing	map03420
map03430 Mismatch repair	Replication and repair	Genetic Information Processing	map03430
map03440 Homologous recombination	Replication and repair	Genetic Information Processing	map03440
map04011 MAPK signaling pathway - yeast	Signal transduction	Environmental Information Processing	map04011
map04016 MAPK signaling pathway - plant	Signal transduction	Environmental Information Processing	map04016
map04066 HIF-1 signaling pathway	Signal transduction	Environmental Information Processing	map04066
map04068 FoxO signaling pathway	Signal transduction	Environmental Information Processing	map04068
map04110 Cell cycle	Cell growth and death	Cellular Processes	map04110
map04115 p53 signaling pathway	Cell growth and death	Cellular Processes	map04115
map04120 Ubiquitin mediated proteolysis	Folding, sorting and degradation	Genetic Information Processing	map04120
map04122 Sulfur relay system	Folding, sorting and degradation	Genetic Information Processing	map04122
map04137 Mitophagy - animal	Transport and catabolism	Cellular Processes	map04137
map04138 Autophagy - yeast	Transport and catabolism	Cellular Processes	map04138
map04140 Autophagy - animal	Transport and catabolism	Cellular Processes	map04140
map04141 Protein processing in endoplasmic reticulum	Folding, sorting and degradation	Genetic Information Processing	map04141
map04142 Lysosome	Transport and catabolism	Cellular Processes	map04142
map04146 Peroxisome	Transport and catabolism	Cellular Processes	map04146
map04152 AMPK signaling pathway	Signal transduction	Environmental Information Processing	map04152
map04210 Apoptosis	Cell growth and death	Cellular Processes	map04210
map04214 Apoptosis - fly	Cell growth and death	Cellular Processes	map04214
map04215 Apoptosis - multiple species	Cell growth and death	Cellular Processes	map04215
map04216 Ferroptosis	Cell growth and death	Cellular Processes	map04216
map04217 Necroptosis	Cell growth and death	Cellular Processes	map04217
map04530 Tight junction	Cellular community - eukaryotes	Cellular Processes	map04530
map05111 Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes	Cellular Processes	map05111
